brand,price,cnt,ml,link,price2,date
享食尚,2950,27,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854589&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%BB%B4%E9%9B%9E%E7%B2%BE,0.411864407,08/12/2023
老協珍,2299,25,42,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9093845,0.456720313,08/12/2023
享食尚,5800,60,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854590,0.465517241,08/12/2023
brand,price,cnt,ml,link,price2,date
農純鄉,8000,60,100,https://shop.nongchunxiang.com.tw/products/chicken-roomteper-60,0.75,09/02/2023
農純鄉,3999,28,100,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10086436&str_category_code=4400200061&ctype=B&Area=DgrpCategory&sourcePageType=4,0.700175044,09/02/2023
純煉紅棗枸杞,5800,65,60,https://www.privatecuisine.tw/products/%E7%B4%85%E6%A3%97%E6%9E%B8%E6%9D%9E%E6%BB%B4%E9%9B%9E%E7%B2%BE65%E5%85%A5%E7%84%A1%E7%9B%92%EF%BC%8C5%E5%8C%85%E4%B8%80%E6%9D%9F%EF%BC%8C%E5%85%B113%E6%9D%9F,0.672413793,09/02/2023
芳茲,6800,50,50,https://www.fun-s.com.tw/products/essenceofchicken-godsc-self,0.367647059,09/02/2023
享食尚,2650,27,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854589&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%BB%B4%E9%9B%9E%E7%B2%BE,0.458490566,09/02/2023
老協珍,2299,25,42,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9093845,0.456720313,09/02/2023
享食尚,5800,60,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854590,0.465517241,09/02/2023
brand,price,cnt,ml,link,price2,date
農純鄉,8000,60,100,https://shop.nongchunxiang.com.tw/products/chicken-roomteper-60,0.75,09/15/2023
純煉紅棗枸杞,5800,65,60,https://www.privatecuisine.tw/products/%E7%B4%85%E6%A3%97%E6%9E%B8%E6%9D%9E%E6%BB%B4%E9%9B%9E%E7%B2%BE65%E5%85%A5%E7%84%A1%E7%9B%92%EF%BC%8C5%E5%8C%85%E4%B8%80%E6%9D%9F%EF%BC%8C%E5%85%B113%E6%9D%9F,0.672413793,09/15/2023
芳茲,6800,50,50,https://www.fun-s.com.tw/products/essenceofchicken-godsc-self,0.367647059,09/15/2023
享食尚,2550,27,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854589&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%BB%B4%E9%9B%9E%E7%B2%BE,0.476470588,09/15/2023
老協珍,2299,25,42,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9093845,0.456720313,09/15/2023
享食尚,5800,60,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854590,0.465517241,09/15/2023
享食尚,5700,60,45,https://www.privatecuisine.tw/products/%E7%B4%94%E7%85%89%E5%8E%9F%E5%91%B3%E6%BB%B4%E9%9B%9E%E7%B2%BE65%E5%85%A5%E7%84%A1%E7%9B%92%EF%BC%8C5%E5%8C%85%E4%B8%80%E6%9D%9F%EF%BC%8C%E5%85%B113%E6%9D%9F,0.473684211,09/15/2023
brand,price,cnt,ml,link,price2,date
農純鄉,8000,60,100,https://shop.nongchunxiang.com.tw/products/chicken-roomteper-60,0.75,10/06/2023
農純鄉,4280,28,100,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10086436&str_category_code=4400200061&ctype=B&Area=DgrpCategory&sourcePageType=4,0.6542056074766355,10/06/2023
純煉紅棗枸杞,5800,65,60,https://www.privatecuisine.tw/products/%E7%B4%85%E6%A3%97%E6%9E%B8%E6%9D%9E%E6%BB%B4%E9%9B%9E%E7%B2%BE65%E5%85%A5%E7%84%A1%E7%9B%92%EF%BC%8C5%E5%8C%85%E4%B8%80%E6%9D%9F%EF%BC%8C%E5%85%B113%E6%9D%9F,0.6724137931034483,10/06/2023
享食尚,2650,27,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854589&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%BB%B4%E9%9B%9E%E7%B2%BE,0.45849056603773586,10/06/2023
老協珍,2450,25,42,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9093845,0.42857142857142855,10/06/2023
享食尚,5800,60,45,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6854590,0.46551724137931033,10/06/2023
